JBC  team B 	 6 : 0 	 LF2MED
Cortina extermina 	 6 : 1 	 TJ SIGMA Rodeo
Enzo Absinthens 	 6 : 10 	 Mámin Hemeroid
AC Gong CB 	 6 : 2 	 Ostré kulky
Enzo Absinthens 	 6 : 2 	 Horalové
FC BigHub 	 6 : 2 	 Psi
Cortina extermina 	 6 : 3 	 FC Bubeneč
Heveraboys 	 6 : 3 	 Psi
Heveraboys 	 6 : 4 	 SK Piškopinky
Peleho vnuci   	 6 : 4 	 TJ Rapid Příkopy Muži
AC Sons of Anarchy 	 6 : 5 	 FC BigHub
Garfield Lasang 	 6 : 5 	 Newton Club
Enzo Absinthens 	 6 : 6 	 K.A.M.-božští psi
Jaderný odpad 	 7 : 0 	 TJ Rapid Příkopy Muži
Enzo Absinthens 	 7 : 2 	 FC Kouř a Pivo
FC BigHub 	 7 : 2 	 Real z Wishe
FC Kouř a Pivo 	 7 : 3 	 Horalové
FC Výpitci Kroměříž 	 7 : 3 	 Psi
FC Žízeň 	 7 : 4 	 Usála Mi Úd
Heveraboys 	 7 : 5 	 LF2MED
Heveraboys 	 7 : 6 	 Velký špatný
Ostré kulky 	 8 : 1 	 Psi
Sojka Velešín 	 8 : 1 	 Tralalalala
AC Gong CB 	 8 : 2 	 Usála Mi Úd
FC Bubeneč 	 8 : 2 	 Newton Club
Slavoj Nechvalice 	 8 : 2 	 Tucet Špinavců
Dutošvarcova korporace 	 8 : 3 	 Zabijáci žraloků
FC BigHub 	 8 : 3 	 Lestkov team
Heveraboys 	 8 : 4 	 Lestkov team
Garfield Lasang 	 8 : 5 	 Mistři teorie
Ostré kulky 	 8 : 5 	 Podlitiny
JBC  team B 	 9 : 1 	 Real z Wishe
Jaderný odpad 	 9 : 1 	 Trblblblblb
Pod vlivem 	 9 : 1 	 Pozdní sběr
AC Sons of Anarchy 	 9 : 2 	 JBC  team B
FC Perros  	 9 : 2 	 Peleho vnuci
Pivopij 	 9 : 3 	 Tucet Špinavců
Garfield Lasang 	 9 : 4 	 Krotitelé puchů
Garfield Lasang 	 9 : 4 	 inSane Tuberculosis
Garfield Lasang 	 9 : 5 	 Čápi
